time(s),keff(-),power(W),flux0,flux1(m-2s-1),TFuel_Max,Avg,Min,TCladding_Max,Avg,Min,TCoolant_Max,Avg,Min(K)
200.1745307,1.00346,1.2312e+07,6.0168e+06,6.2951e+06,1231.9,802.04,600.96,713.86,647.64,600.18,685.94,628.49,600.02
200.2093864,1.00346,1.2267e+07,5.9947e+06,6.272e+06,1232.7,802.32,600.96,713.94,647.67,600.18,685.95,628.51,600.02
200.2512121,1.00346,1.2212e+07,5.9681e+06,6.2442e+06,1233.5,802.65,600.96,714.04,647.72,600.19,685.98,628.53,600.02
200.3014014,1.00346,1.2148e+07,5.9365e+06,6.2111e+06,1234.6,803.03,600.97,714.17,647.77,600.19,686.02,628.55,600.02
200.3616268,1.00346,1.2072e+07,5.8994e+06,6.1723e+06,1235.8,803.47,600.97,714.33,647.85,600.19,686.07,628.59,600.02
200.4338951,1.00346,1.1984e+07,5.8565e+06,6.1274e+06,1237.2,803.96,600.97,714.53,647.93,600.19,686.15,628.64,600.02
200.5206144,1.00346,1.1884e+07,5.8076e+06,6.0763e+06,1238.8,804.51,600.97,714.78,648.04,600.19,686.26,628.69,600.02
200.62458,1.00346,1.1772e+07,5.7529e+06,6.0191e+06,1240.6,805.12,600.98,715.07,648.17,600.19,686.4,628.76,600.02
200.7350158,1.00346,1.1663e+07,5.6997e+06,5.9634e+06,1242.4,805.7,600.98,715.39,648.3,600.19,686.55,628.84,600.02
200.8544154,1.00346,1.1556e+07,5.6473e+06,5.9085e+06,1244.2,806.27,600.98,715.71,648.44,600.19,686.73,628.92,600.02
200.9841907,1.00346,1.145e+07,5.5957e+06,5.8546e+06,1246,806.83,600.99,716.04,648.58,600.19,686.92,629,600.02
201.1262543,1.00346,1.1347e+07,5.545e+06,5.8015e+06,1247.8,807.37,600.99,716.37,648.72,600.19,687.12,629.08,600.02
201.2830455,1.00346,1.1245e+07,5.4953e+06,5.7495e+06,1249.6,807.89,600.99,716.71,648.86,600.19,687.33,629.16,600.02
201.4578139,1.00346,1.1145e+07,5.4466e+06,5.6985e+06,1251.4,808.39,600.99,717.03,649,600.19,687.54,629.24,600.02
201.6550372,1.00346,1.1048e+07,5.399e+06,5.6488e+06,1253.2,808.87,601,717.35,649.13,600.19,687.76,629.32,600.02
201.8811268,1.00346,1.0953e+07,5.3529e+06,5.6005e+06,1254.9,809.33,601,717.66,649.26,600.19,687.98,629.4,600.02
202.145696,1.00346,1.0862e+07,5.3084e+06,5.554e+06,1256.5,809.75,601,717.95,649.38,600.19,688.2,629.47,600.02
202.4631697,1.00346,1.0776e+07,5.2661e+06,5.5097e+06,1258,810.14,601,718.23,649.5,600.19,688.42,629.54,600.02
202.8441267,1.00346,1.0698e+07,5.2281e+06,5.47e+06,1259.4,810.47,601,718.48,649.6,600.19,688.64,629.61,600.02
203.3012615,1.00346,1.0633e+07,5.1965e+06,5.4369e+06,1260.5,810.72,601,718.71,649.69,600.19,688.85,629.67,600.02
203.8012615,1.00346,1.0589e+07,5.1746e+06,5.414e+06,1261.2,810.88,601,718.89,649.77,600.19,689.04,629.72,600.02
204.3012615,1.00346,1.0562e+07,5.1616e+06,5.4004e+06,1261.6,810.97,601,719.02,649.82,600.19,689.19,629.76,600.02
204.8012615,1.00346,1.0547e+07,5.1542e+06,5.3927e+06,1261.8,811.01,601,719.11,649.86,600.19,689.32,629.79,600.02
205.3012615,1.00346,1.0539e+07,5.1502e+06,5.3885e+06,1261.8,811.02,601,719.18,649.88,600.19,689.43,629.81,600.02
205.8012615,1.00346,1.0535e+07,5.1483e+06,5.3865e+06,1261.8,811.03,601,719.23,649.9,600.19,689.52,629.83,600.02
206.3012615,1.00346,1.0533e+07,5.1476e+06,5.3857e+06,1261.8,811.03,601,719.27,649.92,600.19,689.6,629.84,600.02
206.8012615,1.00346,1.0533e+07,5.1475e+06,5.3856e+06,1261.8,811.03,601,719.31,649.93,600.19,689.68,629.86,600.02
207.3012615,1.00346,1.0534e+07,5.1477e+06,5.3858e+06,1261.8,811.03,601,719.33,649.94,600.19,689.74,629.87,600.02
207.8012615,1.00346,1.0534e+07,5.1481e+06,5.3862e+06,1261.7,811.03,601,719.36,649.95,600.19,689.8,629.88,600.02
208.3012615,1.00346,1.0535e+07,5.1485e+06,5.3867e+06,1261.7,811.04,601,719.38,649.96,600.19,689.86,629.89,600.02
208.8012615,1.00346,1.0536e+07,5.1489e+06,5.3871e+06,1261.7,811.05,601,719.41,649.97,600.19,689.91,629.9,600.02
209.3012615,1.00346,1.0537e+07,5.1493e+06,5.3875e+06,1261.7,811.05,601,719.43,649.97,600.19,689.95,629.9,600.02
209.8012615,1.00346,1.0538e+07,5.1496e+06,5.3879e+06,1261.6,811.06,601,719.45,649.98,600.19,690,629.91,600.02
210.3012615,1.00346,1.0538e+07,5.1499e+06,5.3882e+06,1261.6,811.07,601,719.47,649.99,600.19,690.04,629.92,600.02
210.8012615,1.00346,1.0539e+07,5.1502e+06,5.3885e+06,1261.6,811.09,601,719.49,650,600.19,690.08,629.93,600.02
211.3012615,1.00346,1.0539e+07,5.1504e+06,5.3887e+06,1261.7,811.1,601,719.5,650,600.19,690.11,629.93,600.02
211.8012615,1.00346,1.054e+07,5.1506e+06,5.3889e+06,1261.7,811.11,601,719.52,650.01,600.19,690.14,629.94,600.02
212.3012615,1.00346,1.054e+07,5.1508e+06,5.3891e+06,1261.7,811.12,601,719.54,650.02,600.19,690.17,629.94,600.02
212.8012615,1.00346,1.054e+07,5.151e+06,5.3893e+06,1261.7,811.13,601,719.55,650.02,600.19,690.2,629.95,600.02
213.3012615,1.00346,1.0541e+07,5.1511e+06,5.3894e+06,1261.7,811.14,601,719.56,650.03,600.19,690.23,629.95,600.02
213.8012615,1.00346,1.0541e+07,5.1513e+06,5.3896e+06,1261.7,811.16,601,719.58,650.03,600.19,690.25,629.96,600.02
214.3012615,1.00346,1.0541e+07,5.1514e+06,5.3897e+06,1261.7,811.17,601,719.59,650.04,600.19,690.28,629.96,600.02
214.8012615,1.00346,1.0541e+07,5.1515e+06,5.3899e+06,1261.7,811.18,601,719.6,650.04,600.19,690.3,629.96,600.02
215.3012615,1.00346,1.0542e+07,5.1517e+06,5.39e+06,1261.7,811.19,601,719.61,650.05,600.19,690.32,629.97,600.02
215.8012615,1.00346,1.0542e+07,5.1518e+06,5.3901e+06,1261.8,811.2,601,719.62,650.05,600.19,690.34,629.97,600.02
216.3012615,1.00346,1.0542e+07,5.1519e+06,5.3902e+06,1261.8,811.21,601,719.63,650.06,600.19,690.36,629.97,600.02
216.8012615,1.00346,1.0542e+07,5.152e+06,5.3904e+06,1261.8,811.22,601,719.64,650.06,600.19,690.37,629.98,600.02
217.3012615,1.00346,1.0543e+07,5.1521e+06,5.3905e+06,1261.8,811.23,601,719.65,650.06,600.19,690.39,629.98,600.02
217.8012615,1.00346,1.0543e+07,5.1522e+06,5.3906e+06,1261.8,811.24,601,719.66,650.07,600.19,690.4,629.98,600.02
218.3012615,1.00346,1.0543e+07,5.1524e+06,5.3907e+06,1261.8,811.25,601,719.67,650.07,600.19,690.41,629.98,600.02
218.8012615,1.00346,1.0543e+07,5.1525e+06,5.3908e+06,1261.9,811.26,601,719.67,650.07,600.19,690.43,629.99,600.02
219.3012615,1.00346,1.0544e+07,5.1526e+06,5.3909e+06,1261.9,811.27,601,719.68,650.08,600.19,690.44,629.99,600.02
219.8012615,1.00346,1.0544e+07,5.1527e+06,5.391e+06,1261.9,811.27,601,719.69,650.08,600.19,690.45,629.99,600.02
